"timestamp","run_id","architecture","partitions","target_rate","replication","synthetic_cost_us","persistence","events","seconds","throughput","mean_us","p50_us","p95_us","p99_us","max_us","cpu_avg","cpu_peak","mem_avg_mb","mem_peak_mb","gc_gen0","gc_gen1","gc_gen2","allocated_mb","windows","digest_hash","warmup_events","measured_events","windows_written","windows_dropped","producer_achieved_rate","producer_jitter_ms","broker_cpu_avg","broker_cpu_peak","broker_mem_avg_mb","broker_mem_peak_mb","db_cpu_avg","db_cpu_peak","db_mem_avg_mb","db_mem_peak_mb","warmup_seconds","measure_seconds","commit"
"2026-09-23T07:45:47.3306295+00:00","b04430f3-704f-4ada-b91d-afab9e208b2f","rabbitmq-pipelines","4","30000","1","0","1","3000000","89.982","30000.4","1939.2","1512","3837","10703","37183","45.1","210.2","64.4","70.3","225","10","1","2016","791625","97B8934F34174460","300522","2699478","791625","0","29999.5","35.29","230.4","243.4","153.0","158.0","3.4","5.0","200.8","206.4","10","90","25fa684"
"2026-09-23T07:47:50.1294189+00:00","8de02b96-91e7-4412-a914-2dc125b7ca89","kafka-pipelines","4","30000","5","0","1","3000000","89.942","30000.3","3355.1","3353","5647","5931","12871","33.0","191.9","73.2","80.0","278","10","1","2492","791625","97B8934F34174460","301732","2698268","791625","0","29999.5","4.56","49.5","75.9","1418.6","1509.3","2.5","4.1","200.7","201.6","10","90","25fa684"
"2026-09-23T07:49:52.9242566+00:00","e94cbf67-7de8-4feb-9bb6-1ee8fd3f449b","kafka-channels","4","30000","2","0","1","3000000","89.941","30000.9","3369.4","3367","5671","5951","13695","33.6","191.0","73.2","79.7","278","10","1","2492","791625","97B8934F34174460","301681","2698319","791625","0","29999.6","6.03","48.2","55.6","1442.1","1553.6","2.7","3.9","200.5","201.8","10","90","25fa684"
"2026-09-23T07:51:55.4834177+00:00","39b9d78c-7527-44bb-98fa-686a7ac36eec","kafka-pipelines","4","10000","5","0","1","1000000","89.969","10000.8","25423.6","25407","45503","49023","75647","18.4","92.0","72.7","77.7","93","8","1","834","263875","0E72CBF60A5BBB63","100239","899761","263875","0","9997.3","10.00","46.6","52.5","1394.4","1580.7","1.2","1.9","200.2","200.8","10","90","25fa684"
"2026-09-23T07:53:54.6691033+00:00","dde5e5cb-be8c-4b79-903f-04b69d263400","rabbitmq-channels","4","5000","3","0","1","500000","89.981","5000.0","814.8","745","1158","1689","42303","29.1","111.6","62.8","68.5","42","5","1","382","131929","4B1DFA8C2E5A4D13","50092","449908","131929","0","5000.0","20.35","172.6","193.4","138.1","142.6","1.0","1.9","200.0","200.8","10","90","25fa684"
"2026-09-23T07:55:53.7889532+00:00","c21e2651-7ae3-4bcc-b86a-975be69271ca","rabbitmq-channels","4","30000","2","0","1","3000000","89.979","30000.0","2028.1","1508","4143","14063","45695","44.4","178.7","64.7","70.0","225","10","1","2016","791625","97B8934F34174460","300618","2699382","791625","0","29999.6","36.62","217.7","241.8","159.7","234.0","3.4","5.2","200.7","201.5","10","90","25fa684"
"2026-09-23T07:57:53.0389810+00:00","e0d792a4-c787-4f33-88fd-9ff74ce92d36","rabbitmq-direct","4","5000","1","0","1","500000","89.981","5000.1","809.6","740","1154","1736","40191","27.1","105.1","62.5","68.1","42","5","1","381","131929","4B1DFA8C2E5A4D13","50090","449910","131929","0","5000.0","24.68","176.1","185.7","145.4","186.2","1.1","2.1","200.1","204.2","10","90","25fa684"
"2026-09-23T07:59:55.6828545+00:00","fd82dcda-cedc-453d-b3da-e6ab9cc4aaf5","kafka-channels","4","30000","4","0","1","3000000","89.882","30003.0","21697.0","21727","38783","41215","48447","34.0","117.5","75.5","80.2","279","11","1","2491","791625","97B8934F34174460","303272","2696728","791625","0","29988.3","5.18","50.6","56.9","1379.9","1539.6","2.5","3.8","200.8","201.6","10","90","25fa684"
"2026-09-23T08:01:55.0730940+00:00","1ec42df6-5ac5-4358-8362-37d6664962b7","rabbitmq-direct","4","5000","5","0","1","500000","89.983","5000.0","812.4","738","1149","1702","41407","28.1","98.9","62.2","67.9","42","4","1","382","131929","4B1DFA8C2E5A4D13","50082","449918","131929","0","5000.0","24.45","169.3","184.9","146.1","212.1","1.0","1.5","200.0","200.5","10","90","25fa684"
"2026-09-23T08:03:57.7030169+00:00","c0c3439d-c3d8-4252-abf9-0e9c9238f89d","kafka-channels","4","20000","4","0","1","2000000","89.927","20003.8","25085.0","25023","45247","48575","58911","25.2","99.2","74.9","79.7","186","10","1","1663","527750","CF55C698510651DB","201120","1798880","527750","0","19993.7","6.15","46.3","52.6","1396.9","1513.9","1.9","2.9","200.5","201.0","10","90","25fa684"
